District,Constituency,Polling Station,Total,Male,Female,PDF Link
BHIWANI,54-LOHARU,MANDOLI KHURD,2960,1592,1368,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540073.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540074.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540075.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540076.PDF"
BHIWANI,54-LOHARU,BIDHWAN,2174,1155,1019,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540059.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540060.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540061.PDF"
BHIWANI,54-LOHARU,NUNSAR,1307,716,591,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540105.PDF
BHIWANI,54-LOHARU,KHARAKRI,2963,1589,1374,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540049.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540159.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540160.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540161.PDF"
BHIWANI,54-LOHARU,JHUMPA KHURD,2552,1328,1224,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540054.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540055.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540056.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540058.PDF"
BHIWANI,54-LOHARU,SINGHANI,3273,1732,1541,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540170.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540171.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540172.PDF"
BHIWANI,54-LOHARU,SORDA KADIM,929,488,441,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540123.PDF
BHIWANI,54-LOHARU,RUPANA,756,400,356,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540011.PDF
BHIWANI,54-LOHARU,SIWANI,12200,6463,5737,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540019.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540020.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540021.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540022.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540023.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540024.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540025.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540026.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540027.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540028.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540029.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540030.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540031.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540032.PDF"
BHIWANI,54-LOHARU,DHANA JOGI,708,378,330,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB54/CMB0540165.PDF
