District,Constituency,Polling Station,Total,Male,Female,PDF Link
FATEHABAD,39-TOHANA,BHIMEWALA,372,207,165,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB39/CMB0390200.PDF
FATEHABAD,39-TOHANA,AKANWALI,3531,1827,1704,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB39/CMB0390100.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB39/CMB0390101.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB39/CMB0390102.PDF"
FATEHABAD,39-TOHANA,DIGOH,680,365,315,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB39/CMB0390115.PDF
FATEHABAD,39-TOHANA,PIRTHALA,3548,1871,1677,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB39/CMB0390186.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB39/CMB0390187.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB39/CMB0390188.PDF"
FATEHABAD,39-TOHANA,SADHANWAS,2919,1536,1383,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB39/CMB0390004.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB39/CMB0390005.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB39/CMB0390006.PDF"
FATEHABAD,39-TOHANA,INDA CHHUI,3735,1990,1745,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB39/CMB0390121.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB39/CMB0390122.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB39/CMB0390123.PDF"
FATEHABAD,39-TOHANA,SALEMPURI,241,120,121,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB39/CMB0390103.PDF
FATEHABAD,39-TOHANA,KHANAURA,1202,651,551,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB39/CMB0390092.PDF
FATEHABAD,39-TOHANA,TALWARA,2146,1113,1033,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB39/CMB0390008.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB39/CMB0390009.PDF"
FATEHABAD,39-TOHANA,TALWARI,985,503,482,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB39/CMB0390007.PDF
FATEHABAD,39-TOHANA,DHANI DULT MAJRA DULT,1755,919,836,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB39/CMB0390157.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB39/CMB0390158.PDF"
FATEHABAD,39-TOHANA,HANSAWALA,1552,845,707,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB39/CMB0390205.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB39/CMB0390206.PDF"
FATEHABAD,39-TOHANA,PARTA,2905,1546,1359,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB39/CMB0390184.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB39/CMB0390185.PDF"
FATEHABAD,39-TOHANA,MIYOND BOGHAWALI,1412,703,709,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB39/CMB0390029.PDF
FATEHABAD,39-TOHANA,BHODIYA KHERA,367,187,180,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB39/CMB0390130.PDF
FATEHABAD,39-TOHANA,NANGLA,1691,899,792,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB39/CMB0390191.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB39/CMB0390192.PDF"
FATEHABAD,39-TOHANA,GAJUWALA,2610,1389,1221,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB39/CMB0390203.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB39/CMB0390204.PDF"
FATEHABAD,39-TOHANA,NANGLI,811,434,377,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB39/CMB0390201.PDF
FATEHABAD,39-TOHANA,DHARSUL KHURD,1379,710,669,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB39/CMB0390040.PDF
