District,Constituency,Polling Station,Total,Male,Female,PDF Link
GURGAON,75-PATAUDI(SC),SHERPUR,1691,878,813,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750060.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750061.PDF"
GURGAON,75-PATAUDI(SC),KHANDEWLA,2787,1476,1311,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750036.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750037.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750038.PDF"
GURGAON,75-PATAUDI(SC),MUJAFRA,1233,637,596,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750062.PDF
GURGAON,75-PATAUDI(SC),JATSHAHPUR,694,357,337,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750059.PDF
GURGAON,75-PATAUDI(SC),KUKRAULA,1330,700,630,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750111.PDF
GURGAON,75-PATAUDI(SC),DOLATABAD,952,496,456,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750156.PDF
GURGAON,75-PATAUDI(SC),BAWRA BAKIPUR,1285,646,639,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750028.PDF
GURGAON,75-PATAUDI(SC),FAJILPUR BADLI,1449,770,679,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750023.PDF
GURGAON,75-PATAUDI(SC),DADAWAS,653,344,309,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750146.PDF
GURGAON,75-PATAUDI(SC),BHORAKALAN,9877,5323,4554,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750119.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750120.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750121.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750122.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750123.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750124.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750125.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750126.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750127.PDF"
GURGAON,75-PATAUDI(SC),TIRPADI,912,493,419,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750019.PDF
GURGAON,75-PATAUDI(SC),BASUNDA,844,453,391,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750018.PDF
GURGAON,75-PATAUDI(SC),MUSHEDPUR,1368,732,636,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750005.PDF
GURGAON,75-PATAUDI(SC),BAPAAS,1152,622,530,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750155.PDF
GURGAON,75-PATAUDI(SC),JODI SANPKA,1365,690,675,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750033.PDF
GURGAON,75-PATAUDI(SC),RATHIWAS,2533,1324,1209,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750183.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750184.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750185.PDF"
GURGAON,75-PATAUDI(SC),NANUKHURD,719,386,333,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750157.PDF
GURGAON,75-PATAUDI(SC),SHEKHPUR MAJRI,931,474,457,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750003.PDF
GURGAON,75-PATAUDI(SC),LANGRA,959,504,455,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750192.PDF
GURGAON,75-PATAUDI(SC),JONIYAWAS,1626,853,773,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750021.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750022.PDF"
GURGAON,75-PATAUDI(SC),FAJALWAS,891,474,417,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750113.PDF
GURGAON,75-PATAUDI(SC),TAJ NAGAR,2307,1185,1122,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750024.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750025.PDF"
GURGAON,75-PATAUDI(SC),CHHILARKI,622,324,298,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750056.PDF
GURGAON,75-PATAUDI(SC),GADAIPUR,1409,752,657,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750142.PDF
GURGAON,75-PATAUDI(SC),JODI KHURD,2636,1349,1287,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750078.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750079.PDF"
GURGAON,75-PATAUDI(SC),BHURKA,1040,534,506,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750186.PDF
GURGAON,75-PATAUDI(SC),SIKANDARPUR BADA,2533,1322,1211,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750097.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750098.PDF"
GURGAON,75-PATAUDI(SC),LOKRA,1675,881,794,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750168.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750170.PDF"
GURGAON,75-PATAUDI(SC),Ghilnawas,428,223,205,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750151.PDF
GURGAON,75-PATAUDI(SC),KHANPUR,1189,624,565,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750139.PDF
GURGAON,75-PATAUDI(SC),LOKRI,3348,1754,1594,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750171.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750172.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750173.PDF"
GURGAON,75-PATAUDI(SC),BIRHERI RAHANVA,749,385,364,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750147.PDF
GURGAON,75-PATAUDI(SC),DHANI KUMBHAWAS BHORAKALAN,2845,1471,1374,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750128.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750129.PDF"
GURGAON,75-PATAUDI(SC),BILASPUR,2600,1355,1245,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750178.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750179.PDF"
GURGAON,75-PATAUDI(SC),PATAUDI,11743,6209,5534,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750065.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750066.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750067.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750068.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750069.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750070.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750071.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750072.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750073.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750074.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750075.PDF"
GURGAON,75-PATAUDI(SC),BADHA,1345,700,645,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750096.PDF
GURGAON,75-PATAUDI(SC),GHOSHGARH,2513,1298,1215,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750082.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750083.PDF"
GURGAON,75-PATAUDI(SC),KHURAMPUR KHERA,3206,1730,1476,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750007.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750008.PDF"
GURGAON,75-PATAUDI(SC),LOHCHAB,1191,637,554,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750162.PDF
GURGAON,75-PATAUDI(SC),MILAKPUR,663,356,307,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750140.PDF
GURGAON,75-PATAUDI(SC),FARIDPUR,793,435,358,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750015.PDF
GURGAON,75-PATAUDI(SC),FAKARPUR,1130,604,526,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750116.PDF
GURGAON,75-PATAUDI(SC),CHHAWAN,742,385,357,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750064.PDF
GURGAON,75-PATAUDI(SC),JATAULA,2479,1325,1154,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750034.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750035.PDF"
GURGAON,75-PATAUDI(SC),MAHNIYAWAS,486,257,229,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750150.PDF
GURGAON,75-PATAUDI(SC),BALEVA,1823,959,864,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750152.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750153.PDF"
GURGAON,75-PATAUDI(SC),NARHERA,2606,1327,1279,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750130.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750131.PDF"
GURGAON,75-PATAUDI(SC),MUMTAJPUR,2082,1106,976,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750137.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750138.PDF"
GURGAON,75-PATAUDI(SC),GUDHANA,2547,1311,1236,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750052.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750053.PDF"
GURGAON,75-PATAUDI(SC),NAVADA FATEHPUR,2071,1058,1013,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750094.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750095.PDF"
GURGAON,75-PATAUDI(SC),DARRAPUR,833,447,386,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750169.PDF
GURGAON,75-PATAUDI(SC),SIWARI,1514,831,683,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750001.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750002.PDF"
GURGAON,75-PATAUDI(SC),SEHRAWAN,688,359,329,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750110.PDF
GURGAON,75-PATAUDI(SC),DABODA,1297,684,613,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750020.PDF
GURGAON,75-PATAUDI(SC),GWALIOR,919,471,448,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750112.PDF
GURGAON,75-PATAUDI(SC),INCHHAPURI,1235,658,577,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750141.PDF
GURGAON,75-PATAUDI(SC),CHANDLA DUNGARWAS,1677,837,840,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750114.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750115.PDF"
GURGAON,75-PATAUDI(SC),MAHCHANA,2119,1110,1009,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750016.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB75/CMB0750017.PDF"
