District,Constituency,Polling Station,Total,Male,Female,PDF Link
JIND,34-JULANA,POHAKAR KHERI,2443,1358,1085,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340012.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340013.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340014.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340015.PDF"
JIND,34-JULANA,FATEHGARH,1294,710,584,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340121.PDF
JIND,34-JULANA,DESHKHERA,780,415,365,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340134.PDF
JIND,34-JULANA,BIBIPUR,3541,1905,1636,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340069.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340070.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340071.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340072.PDF"
JIND,34-JULANA,KHARAK RAMJI,2745,1537,1208,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340049.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340050.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340051.PDF"
JIND,34-JULANA,DEWRAR,2834,1609,1225,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340166.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340167.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340168.PDF"
JIND,34-JULANA,KHARAINTI,2863,1576,1287,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340105.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340106.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340107.PDF"
JIND,34-JULANA,PAVALI,2869,1572,1297,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340157.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340158.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340159.PDF"
JIND,34-JULANA,BAHBALPUR,1416,773,643,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340067.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340068.PDF"
JIND,34-JULANA,NIDANA,3210,1759,1451,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340054.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340055.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB34/CMB0340056.PDF"
