District,Constituency,Polling Station,Total,Male,Female,PDF Link
KAITHAL,15-GUHLA(SC),MANJHARI,417,211,206,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB15/CMB0150026.PDF
KAITHAL,15-GUHLA(SC),SAROLA,654,343,311,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB15/CMB0150008.PDF
KAITHAL,15-GUHLA(SC),BADSUI,1400,739,661,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB15/CMB0150030.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB15/CMB0150031.PDF"
KAITHAL,15-GUHLA(SC),KASOUR,1360,731,629,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB15/CMB0150114.PDF
KAITHAL,15-GUHLA(SC),KHANPUR,1733,956,777,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB15/CMB0150138.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB15/CMB0150139.PDF"
KAITHAL,15-GUHLA(SC),RAMTHALI,1533,833,700,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB15/CMB0150117.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB15/CMB0150118.PDF"
KAITHAL,15-GUHLA(SC),GADI NAZIR,435,228,207,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB15/CMB0150002.PDF
KAITHAL,15-GUHLA(SC),CHEEKA,19246,10288,8958,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB15/CMB0150044.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB15/CMB0150045.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB15/CMB0150047.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB15/CMB0150048.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB15/CMB0150049.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB15/CMB0150050.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB15/CMB0150051.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB15/CMB0150052.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB15/CMB0150053.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB15/CMB0150055.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB15/CMB0150056.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB15/CMB0150057.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB15/CMB0150058.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB15/CMB0150059.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB15/CMB0150060.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB15/CMB0150061.PDF"
KAITHAL,15-GUHLA(SC),MALIKPUR,1549,815,734,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB15/CMB0150136.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB15/CMB0150137.PDF"
KAITHAL,15-GUHLA(SC),THEH TARAWALI,1166,618,548,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB15/CMB0150115.PDF
KAITHAL,15-GUHLA(SC),GUHLA,1310,704,606,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB15/CMB0150046.PDF
KAITHAL,15-GUHLA(SC),FIROZPUR,964,509,455,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB15/CMB0150133.PDF
KAITHAL,15-GUHLA(SC),HEMU MAJRA,422,216,206,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB15/CMB0150040.PDF
