District,Constituency,Polling Station,Total,Male,Female,PDF Link
MEWAT,79-NUH,BAROTA,935,507,428,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790021.PDF
MEWAT,79-NUH,KASBA  NUH,5863,3060,2803,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790085.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790086.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790087.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790088.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790089.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790090.PDF"
MEWAT,79-NUH,KHANPUR,608,339,269,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790003.PDF
MEWAT,79-NUH,MANNAKI,339,188,151,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790065.PDF
MEWAT,79-NUH,PALARI,1341,722,619,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790080.PDF
MEWAT,79-NUH,MEOLI,1327,722,605,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790136.PDF
MEWAT,79-NUH,GAJARPUR,627,352,275,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790028.PDF
MEWAT,79-NUH,TAI,2674,1448,1226,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790099.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790100.PDF"
MEWAT,79-NUH,BADKA ALIMUDIN,1332,705,627,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790044.PDF
MEWAT,79-NUH,BAJARKA,605,325,280,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790064.PDF
MEWAT,79-NUH,SALAMBA,2607,1464,1143,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790066.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790067.PDF"
MEWAT,79-NUH,AALDAUKA,2573,1446,1127,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790061.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790062.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790063.PDF"
MEWAT,79-NUH,GANGOLI,1394,775,619,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790036.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790037.PDF"
MEWAT,79-NUH,HILALPUR,531,283,248,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790007.PDF
MEWAT,79-NUH,MURADAVAS,1166,625,541,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790131.PDF
MEWAT,79-NUH,KHEDLI DOSA,722,390,332,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790034.PDF
MEWAT,79-NUH,SANGEL,2538,1347,1191,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790153.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790154.PDF"
MEWAT,79-NUH,GOLPURI,1713,919,794,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790110.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790111.PDF"
MEWAT,79-NUH,RITODA,1087,568,519,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790041.PDF
MEWAT,79-NUH,DIHANA,2833,1539,1294,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790149.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790150.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790151.PDF"
MEWAT,79-NUH,KURTHALA,1510,813,697,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790108.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790109.PDF"
MEWAT,79-NUH,RAHNA,1836,983,853,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790045.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790046.PDF"
MEWAT,79-NUH,UTANKA,746,389,357,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790130.PDF
MEWAT,79-NUH,KALIYAKA,741,408,333,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790010.PDF
MEWAT,79-NUH,JAISINHPUR,2208,1165,1043,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790121.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790122.PDF"
MEWAT,79-NUH,FIROZPUR NAMAK,3861,2118,1743,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790068.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790069.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790070.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790071.PDF"
MEWAT,79-NUH,RAIPURI,1274,684,590,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790102.PDF
MEWAT,79-NUH,MALAB,5157,2764,2393,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790142.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790143.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790144.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790145.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790146.PDF"
MEWAT,79-NUH,TAPKAN,1614,873,741,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790048.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790049.PDF"
MEWAT,79-NUH,SADAI,585,303,282,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790047.PDF
MEWAT,79-NUH,MANUVAS,730,376,354,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790009.PDF
MEWAT,79-NUH,BABUPUR NUH,957,528,429,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790104.PDF
MEWAT,79-NUH,DHEKALI,1269,680,589,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790155.PDF
MEWAT,79-NUH,KIRANJ,1865,989,876,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790011.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790012.PDF"
MEWAT,79-NUH,GUNDWAS,655,331,324,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB79/CMB0790105.PDF
