District,Constituency,Polling Station,Total,Male,Female,PDF Link
PALWAL,82-HATHIN,SAROLI,1340,731,609,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820012.PDF
PALWAL,82-HATHIN,GURAKSAR,2650,1400,1250,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820137.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820138.PDF"
PALWAL,82-HATHIN,KANOLI,830,450,380,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820013.PDF
PALWAL,82-HATHIN,FIROZPUR RAJPUT,1091,576,515,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820086.PDF
PALWAL,82-HATHIN,UTAVAD,7656,4179,3477,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820143.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820144.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820145.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820146.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820147.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820148.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820149.PDF"
PALWAL,82-HATHIN,BHIMSIKA,1208,659,549,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820118.PDF
PALWAL,82-HATHIN,JARARI,1147,639,508,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820142.PDF
PALWAL,82-HATHIN,MAHESHPUR,1326,720,606,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820022.PDF
PALWAL,82-HATHIN,JODHPUR,1059,588,471,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820042.PDF
PALWAL,82-HATHIN,TIKRI BRAHMAN,3182,1795,1387,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820057.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820058.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820059.PDF"
PALWAL,82-HATHIN,MAANPUR,5317,2888,2429,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820165.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820166.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820167.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820168.PDF"
PALWAL,82-HATHIN,NANGAL SABHA,780,404,376,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820190.PDF
PALWAL,82-HATHIN,DEHLAKA,415,225,190,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820004.PDF
PALWAL,82-HATHIN,NANGAL JAT,3290,1808,1482,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820176.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820177.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820178.PDF"
PALWAL,82-HATHIN,RATIPUR,1215,663,552,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820041.PDF
PALWAL,82-HATHIN,PONDARI,729,396,333,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820029.PDF
PALWAL,82-HATHIN,BADHA,1796,1006,790,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820024.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820025.PDF"
PALWAL,82-HATHIN,RUPDAKA,6148,3407,2741,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820123.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820124.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820125.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820126.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820127.PDF"
PALWAL,82-HATHIN,DHEERNAKI,1412,772,640,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820108.PDF
PALWAL,82-HATHIN,JOHAR KHERA,411,228,183,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820027.PDF
PALWAL,82-HATHIN,GHURAWALI,2109,1158,951,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820150.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820151.PDF"
PALWAL,82-HATHIN,DURAICHI,727,395,332,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820078.PDF
PALWAL,82-HATHIN,chandpur,994,541,453,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820007.PDF
PALWAL,82-HATHIN,BHURPUR,566,296,270,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820140.PDF
PALWAL,82-HATHIN,MALUKA,2410,1305,1105,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820153.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820154.PDF"
PALWAL,82-HATHIN,BHUGURI PALWAL,1001,533,468,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820064.PDF
PALWAL,82-HATHIN,LADMAKI,718,413,305,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820112.PDF
PALWAL,82-HATHIN,GHIGHRAKA,671,364,307,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820085.PDF
PALWAL,82-HATHIN,KHERLI BRAHMAN,498,277,221,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820081.PDF
PALWAL,82-HATHIN,REENDKA,1042,556,486,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820099.PDF
PALWAL,82-HATHIN,MANDPURI,844,450,394,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820001.PDF
PALWAL,82-HATHIN,ALUKA,370,195,175,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820034.PDF
PALWAL,82-HATHIN,BAHROULA,1468,797,671,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820046.PDF
PALWAL,82-HATHIN,ANDHOP,2580,1384,1196,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820179.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820180.PDF"
PALWAL,82-HATHIN,PUTHALI,1153,626,527,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820067.PDF
PALWAL,82-HATHIN,RUP NAGAR NATEILI,671,366,305,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820187.PDF
PALWAL,82-HATHIN,GAILPUR,1291,693,598,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820040.PDF
PALWAL,82-HATHIN,BAMNAULA JOGI,913,491,422,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820093.PDF
PALWAL,82-HATHIN,DHAMAKA,895,488,407,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB82/CMB0820036.PDF
