District,Constituency,Polling Station,Total,Male,Female,PDF Link
REWARI,72-BAWAL(SC),AASALWAS,740,383,357,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB72/CMB0720080.PDF
REWARI,72-BAWAL(SC),BASDUDA,1927,1041,886,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB72/CMB0720003.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB72/CMB0720004.PDF"
REWARI,72-BAWAL(SC),MAILAWAS,739,396,343,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB72/CMB0720093.PDF
REWARI,72-BAWAL(SC),GUMINA,935,497,438,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB72/CMB0720095.PDF
REWARI,72-BAWAL(SC),DHALIYAWAS,2092,1099,993,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB72/CMB0720043.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB72/CMB0720044.PDF"
REWARI,72-BAWAL(SC),KHERI DALU SINGH,959,500,459,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB72/CMB0720188.PDF
REWARI,72-BAWAL(SC),DULHERA KHURD,976,534,442,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB72/CMB0720195.PDF
REWARI,72-BAWAL(SC),PRANPURA,1524,795,729,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB72/CMB0720212.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB72/CMB0720213.PDF"
REWARI,72-BAWAL(SC),TIHARA,1534,819,715,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB72/CMB0720191.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB72/CMB0720192.PDF"
REWARI,72-BAWAL(SC),ASRA KA MAJRA,1194,610,584,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB72/CMB0720175.PDF
REWARI,72-BAWAL(SC),TINT,2410,1253,1157,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB72/CMB0720096.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB72/CMB0720097.PDF"
REWARI,72-BAWAL(SC),NANGAL JAMALPUR,1658,893,765,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB72/CMB0720001.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB72/CMB0720002.PDF"
REWARI,72-BAWAL(SC),SANJARPUR,291,161,130,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB72/CMB0720173.PDF
REWARI,72-BAWAL(SC),BADHRANA,964,513,451,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB72/CMB0720124.PDF
REWARI,72-BAWAL(SC),MOHAMMADPUR,1302,685,617,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB72/CMB0720155.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB72/CMB0720156.PDF"
