District,Constituency,Polling Station,Total,Male,Female,PDF Link
ROHTAK,60-MEHAM,MOKHRA KHAS,7668,4217,3451,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600173.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600174.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600175.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600176.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600177.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600178.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600179.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600180.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600181.PDF"
ROHTAK,60-MEHAM,BAHU AKBARPUR,7638,4215,3423,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600184.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600185.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600186.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600187.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600188.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600189.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600190.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600191.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600192.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600193.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600194.PDF"
ROHTAK,60-MEHAM,BHAINI SURJAN PANA MATO,,,,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600070.PDF
ROHTAK,60-MEHAM,GUGAHERI,1235,691,544,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600021.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600022.PDF"
ROHTAK,60-MEHAM,BAHLABA,,,,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600160.PDF
ROHTAK,60-MEHAM,CHANDI INDERGARH,1440,751,689,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600034.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600035.PDF"
ROHTAK,60-MEHAM,NIDANA,2622,1428,1194,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600122.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600123.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600124.PDF"
ROHTAK,60-MEHAM,GHAROTHI,3389,1801,1588,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600036.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600037.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600038.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600039.PDF"
ROHTAK,60-MEHAM,AJAYAB,4488,2464,2024,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600099.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600100.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600101.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600102.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600103.PDF"
ROHTAK,60-MEHAM,BAHALBA,,,,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB60/CMB0600156.PDF
