District,Constituency,Polling Station,Total,Male,Female,PDF Link
SIRSA,42-KALAWALI(SC),THERI BABA SAWAN SINGH,624,337,287,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420141.PDF
SIRSA,42-KALAWALI(SC),BHROKHAN,2430,1274,1156,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420121.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420122.PDF"
SIRSA,42-KALAWALI(SC),SINGHPURA,2195,1187,1008,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420009.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420010.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420011.PDF"
SIRSA,42-KALAWALI(SC),RAGHUANA,2071,1102,969,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420106.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420107.PDF"
SIRSA,42-KALAWALI(SC),KHYOWALI,1920,1023,897,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420076.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420077.PDF"
SIRSA,42-KALAWALI(SC),MUSAHIBWALA,907,496,411,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420120.PDF
SIRSA,42-KALAWALI(SC),HANDI KHERA,950,499,451,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420139.PDF
SIRSA,42-KALAWALI(SC),PAKKA,2012,1069,943,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420012.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420013.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420014.PDF"
SIRSA,42-KALAWALI(SC),KOTLI,5026,2637,2389,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420160.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420161.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420162.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420163.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420164.PDF"
SIRSA,42-KALAWALI(SC),GADRANA,2644,1450,1194,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420045.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420046.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB42/CMB0420047.PDF"
