District,Constituency,Polling Station,Total,Male,Female,PDF Link
SONIPAT,28-GANAUR,LARSAULI,1711,902,809,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB28/CMB0280138.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB28/CMB0280139.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB28/CMB0280140.PDF"
SONIPAT,28-GANAUR,NAYA BANS,,,,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB28/CMB0280039.PDF
SONIPAT,28-GANAUR,TEHA,1836,983,853,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB28/CMB0280082.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB28/CMB0280083.PDF"
SONIPAT,28-GANAUR,PABNERA,1570,852,718,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB28/CMB0280086.PDF
SONIPAT,28-GANAUR,PATTI BRAHMNAN,416,222,194,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB28/CMB0280014.PDF
SONIPAT,28-GANAUR,MAHMUDPUR MAJRA,931,513,418,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB28/CMB0280053.PDF
SONIPAT,28-GANAUR,BHOGIPUR,1214,661,553,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB28/CMB0280130.PDF
SONIPAT,28-GANAUR,THARU ULDEPUR,2383,1292,1091,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB28/CMB0280175.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB28/CMB0280176.PDF"
SONIPAT,28-GANAUR,RAJPUR,3195,1703,1492,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB28/CMB0280134.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB28/CMB0280135.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB28/CMB0280136.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB28/CMB0280137.PDF"
SONIPAT,28-GANAUR,KHERI TAGA,1850,1020,830,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB28/CMB0280022.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB28/CMB0280023.PDF"
SONIPAT,28-GANAUR,PANCHI JATAN,3959,2178,1781,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB28/CMB0280152.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB28/CMB0280153.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB28/CMB0280154.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB28/CMB0280155.PDF"
