District,Constituency,Polling Station,Total,Male,Female,PDF Link
YAMUNANAGAR,7-SADHAURA(SC),GUGLON,856,472,384,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB07/CMB0070227.PDF
YAMUNANAGAR,7-SADHAURA(SC),GARHI GOSAIN,766,417,349,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB07/CMB0070193.PDF
YAMUNANAGAR,7-SADHAURA(SC),MUSSIMBAL HINDUYAN,2296,1208,1088,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB07/CMB0070173.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB07/CMB0070174.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB07/CMB0070175.PDF"
YAMUNANAGAR,7-SADHAURA(SC),NAMDARPUR,763,413,350,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB07/CMB0070196.PDF
YAMUNANAGAR,7-SADHAURA(SC),LAWANA,1004,534,470,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB07/CMB0070160.PDF
YAMUNANAGAR,7-SADHAURA(SC),JAITPUR,762,423,339,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB07/CMB0070018.PDF
YAMUNANAGAR,7-SADHAURA(SC),MALAKPUR,1187,646,541,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB07/CMB0070133.PDF
YAMUNANAGAR,7-SADHAURA(SC),CHAURAHI,727,397,330,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB07/CMB0070106.PDF
YAMUNANAGAR,7-SADHAURA(SC),KHANPUR,1664,902,762,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB07/CMB0070208.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB07/CMB0070209.PDF"
YAMUNANAGAR,7-SADHAURA(SC),GYANEWALA,1014,543,471,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB07/CMB0070145.PDF
YAMUNANAGAR,7-SADHAURA(SC),SAHLEPUR,615,342,273,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB07/CMB0070003.PDF
